"type","Classes","value","percentage"
"Bacteria","+/+",16,27.1186440677966
"Eukaryota","+/+",11,20.3703703703704
"Intersect","+/+",4,4.93827160493827
"Bacteria","+/0",26,44.0677966101695
"Eukaryota","+/0",18,33.3333333333333
"Intersect","+/0",42,51.8518518518518
"Bacteria","0/+",17,28.8135593220339
"Eukaryota","0/+",18,33.3333333333333
"Intersect","0/+",35,43.2098765432099
"Bacteria","-/+",0,0
"Eukaryota","-/+",5,9.25925925925926
"Intersect","-/+",0,0
"Bacteria","-/0",0,0
"Eukaryota","-/0",2,3.7037037037037
"Intersect","-/0",0,0
