"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.1",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.2",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.3",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.4",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.5",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.6",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.7",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.8",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.9",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
"CRC.10",44.5907869144146,100,90.9499668639274,30.3932938663878,23.4156888080799,25.4675382346879,46.4301738575225,73.5199224749388,16.245609864366,35.7296134197718,12.9283876630509,27.8910369998857,29.6692375098881,19.5640764342129,33.9145618566068,47.6824121900411,21.8548059120209,16.3040447520941,45.7344280046053,0,4.03291791697909,8.86462879110972,74.6635306671824,25.8426290129977,32.1920240642935,22.2439663449867,6.75689509305366,13.8005329252654,26.2321989684792,6.45820200421238,68.9276354988171
