"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",98.487527007256,21.9366743861988,30.1409970789267,26.8222433979312,32.3592170287748,19.7772572488622,16.466301358381,22.8379528008177,50.2296987799934,28.4293579805192,5.01763883489259,19.9564531475372,15.3169451766374,39.7489821299159,46.6334950820742,66.7293064529113,33.2778658507673,18.0291245422155,43.2364385096464,16.4289166942363,37.2833249863472,63.6631138222903,68.073584942028,15.3959201216081,15.1508158324079,15.0998782195817,32.5964088762306,51.6418450738789,37.0829816473277
"CRC.1",100,20.4391153725388,14.9220778175405,21.9540578402013,18.4691395967191,1.42699443435712,12.7576416017774,8.87658702682475,41.9743245068645,22.3501577338258,11.891336535152,19.5008588749909,17.5481084724228,21.3050830741279,33.7820206896092,56.5903672951777,22.5038931517863,22.6436601880001,44.828961609438,15.3274686272538,13.543410360142,38.3292873574697,77.4949946980756,7.34633215502705,23.9581231007314,0,27.2003692265909,29.9400417362388,22.5968702189874
"CRC.2",100,27.4508381774196,26.4358070548241,18.4403145880527,29.2739725131937,6.08635825455239,14.7811827909959,23.3839348909539,46.5137891046976,35.1129394573461,0,26.0106686418459,8.82295576843777,43.2451479517218,37.0155190476272,55.6839873643031,21.4922820369077,13.8736181098991,37.384540675964,25.026468379063,44.0493513272298,72.4299205010797,54.8051529751414,7.59674831194713,10.7533718656441,26.0205127066825,32.4668888002086,56.468584706062,36.1678367769418
"CRC.3",100,18.3679944494321,28.9372200371789,33.8762599136964,26.4522107129311,30.1074618797099,22.1725436436069,16.272923058114,42.05253438817,20.773518593922,12.7616839379246,16.5942419939792,23.1539144928125,46.1786252011171,40.7553939106539,50.1236545995731,18.0654672826632,17.9774357120776,36.1019606924932,15.0253684917154,36.9171021001612,54.5495113733193,71.0654262415483,20.8192035832188,0,7.34361728530787,39.506473118986,46.6155037323655,34.6810557435085
"CRC.4",100,18.3679944494321,28.9372200371789,33.8762599136964,26.4522107129311,30.1074618797099,22.1725436436069,16.272923058114,42.05253438817,20.773518593922,12.7616839379246,16.5942419939792,23.1539144928125,46.1786252011171,40.7553939106539,50.1236545995731,18.0654672826632,17.9774357120776,36.1019606924932,15.0253684917154,36.9171021001612,54.5495113733193,71.0654262415483,20.8192035832188,0,7.34361728530787,39.506473118986,46.6155037323655,34.6810557435085
"CRC.5",100,15.4866362564061,30.2864108978581,28.5837504666626,41.1677534233027,25.277716015063,9.62085213686813,25.6573751740172,55.3706721897733,35.0175041029238,0,19.5525672249211,14.4340033646461,46.398279346578,55.6148584420914,82.98791956887,50.9096383761265,17.3132211961922,45.2646748490754,15.282165766618,43.5057881433644,73.9038520701015,71.3931107186888,17.9486148717197,34.8905317439908,20.5395054983734,27.0999442259014,57.8597660211902,42.9320926623334
"CRC.6",100,27.4508381774196,26.4358070548241,18.4403145880527,29.2739725131937,6.08635825455239,14.7811827909959,23.3839348909539,46.5137891046976,35.1129394573461,0,26.0106686418459,8.82295576843777,43.2451479517218,37.0155190476272,55.6839873643031,21.4922820369077,13.8736181098991,37.384540675964,25.026468379063,44.0493513272298,72.4299205010797,54.8051529751414,7.59674831194713,10.7533718656441,26.0205127066825,32.4668888002086,56.468584706062,36.1678367769418
"CRC.7",100,15.4866362564061,30.2864108978581,28.5837504666626,41.1677534233027,25.277716015063,9.62085213686813,25.6573751740172,55.3706721897733,35.0175041029238,0,19.5525672249211,14.4340033646461,46.398279346578,55.6148584420914,82.98791956887,50.9096383761265,17.3132211961922,45.2646748490754,15.282165766618,43.5057881433644,73.9038520701015,71.3931107186888,17.9486148717197,34.8905317439908,20.5395054983734,27.0999442259014,57.8597660211902,42.9320926623334
"CRC.8",84.8752700725604,42.4620600170955,55.9453860569671,22.007715821929,43.7151932559398,18.0173278608418,26.9628190586155,46.9441765030509,75.025465349844,24.3444750661363,0,19.6019076599883,5.21167818469944,11.9637286785017,69.4111349776425,100,60.3648843057024,24.0283782895477,68.6664355103929,7.98615878198295,29.9224661182934,68.0819195330113,66.2549378912105,15.115917072344,1.37169626008723,15.3083884314086,34.0106899006352,60.1154303297585,43.0578274828801
"CRC.9",100,18.3679944494321,28.9372200371789,33.8762599136964,26.4522107129311,30.1074618797099,22.1725436436069,16.272923058114,42.05253438817,20.773518593922,12.7616839379246,16.5942419939792,23.1539144928125,46.1786252011171,40.7553939106539,50.1236545995731,18.0654672826632,17.9774357120776,36.1019606924932,15.0253684917154,36.9171021001612,54.5495113733193,71.0654262415483,20.8192035832188,0,7.34361728530787,39.506473118986,46.6155037323655,34.6810557435085
"CRC.10",100,15.4866362564061,30.2864108978581,28.5837504666626,41.1677534233027,25.277716015063,9.62085213686813,25.6573751740172,55.3706721897733,35.0175041029238,0,19.5525672249211,14.4340033646461,46.398279346578,55.6148584420914,82.98791956887,50.9096383761265,17.3132211961922,45.2646748490754,15.282165766618,43.5057881433644,73.9038520701015,71.3931107186888,17.9486148717197,34.8905317439908,20.5395054983734,27.0999442259014,57.8597660211902,42.9320926623334
